"song","artist","duration_ms","explicit","year","popularity","danceability","genre"
"Oops!...I Did It Again","Britney Spears",211160,"False",2000,77,0.751,"pop"
"All The Small Things","blink-182",167066,"False",1999,79,0.434,"rock; pop"
"Breathe","Faith Hill",250546,"False",1999,66,0.529,"pop; country"
"It's My Life","Bon Jovi",224493,"False",2000,78,0.551,"rock; metal"
"Bye Bye Bye","*NSYNC",200560,"False",2000,65,0.614,"pop"
"Thong Song","Sisqo",253733,"True",1999,69,0.706,"hip hop; pop; R&B"
"The Real Slim Shady","Eminem",284200,"True",2000,86,0.949,"hip hop"
"Rock DJ","Robbie Williams",258560,"False",2000,68,0.708,"pop; rock"
"Say My Name","Destiny's Child",271333,"False",1999,75,0.713,"pop; R&B"
"Lady - Hear Me Tonight","Modjo",307153,"False",2001,77,0.72,"Dance/Electronic"
"L'Amour Toujours","Gigi D'Agostino",238759,"False",2011,1,0.617,"pop"
"Move Your Body - Gabry Ponte Original Radio Edit","Eiffel 65",268863,"False",1999,56,0.745,"pop"
"Freestyler","Bomfunk MC's",306333,"False",2000,55,0.822,"pop"
"Desert Rose","Sting",285960,"False",1999,62,0.586,"rock; pop"
"Never Be The Same Again","Melanie C",294200,"False",1999,61,0.689,"pop; Dance/Electronic"
"Try Again","Aaliyah",284000,"False",2002,53,0.797,"hip hop; pop; R&B"
"I'm Outta Love - Radio Edit","Anastacia",245400,"False",1999,64,0.761,"pop"
"Better Off Alone","Alice Deejay",214883,"False",2000,73,0.671,"pop"
"The Riddle","Gigi D'Agostino",285426,"False",1999,64,0.74,"pop"
"The Next Episode","Dr. Dre",161506,"True",1999,82,0.922,"hip hop"
"In the End","Linkin Park",216880,"False",2000,83,0.556,"rock; metal"
"Sexbomb","Tom Jones",211893,"False",1999,65,0.801,"rock; Folk/Acoustic; easy listening"
"It Feels So Good","Sonique",240866,"False",2000,62,0.634,"pop"
"Cold as Ice","M.O.P.",244466,"True",2000,54,0.656,"hip hop"
"I Turn To You","Melanie C",352173,"False",1999,54,0.522,"pop; Dance/Electronic"
"Take A Look Around","Limp Bizkit",321040,"False",2000,72,0.425,"metal"
"Sandstorm","Darude",225493,"False",2001,69,0.528,"pop; Dance/Electronic"
"What'chu Like (feat. Tyrese)","Da Brat",221160,"True",2000,53,0.879,"hip hop; pop; R&B"
"The Time Is Now","Moloko",318280,"False",2000,54,0.682,"pop; Dance/Electronic"
"Don't Give Up","Chicane",210786,"False",2016,47,0.644,"Dance/Electronic"
"Party Up","DMX",268866,"True",1999,71,0.51,"hip hop; pop"
"Dance with Me","Debelah Morgan",220106,"False",2000,49,0.85,"pop; R&B"
"Music","Madonna",225973,"False",2000,58,0.736,"pop"
"No More","Ruff Endz",242560,"False",2000,52,0.839,"R&B"
"Born to Make You Happy","Britney Spears",243533,"False",1999,58,0.633,"pop"
"Get It On Tonite","Montell Jordan",276266,"False",1999,59,0.813,"hip hop; pop; R&B"
"Spinning Around","Kylie Minogue",207866,"False",2000,55,0.761,"pop; Dance/Electronic"
"Big Pimpin'","JAY-Z",283066,"True",1999,69,0.88,"hip hop"
"I Need You","LeAnn Rimes",229826,"False",2001,61,0.478,"pop; country"
"Separated","Avant",255600,"False",2000,55,0.798,"pop; R&B"
"Be With You","Enrique Iglesias",219360,"False",1999,54,0.683,"pop; latin"
"He Wasn't Man Enough","Toni Braxton",261933,"False",2000,66,0.739,"pop; R&B"
"Bounce With Me (feat. Xscape) - Edited Album Version","Bow Wow",175893,"False",2000,36,0.852,"hip hop; pop; R&B"
"Forgot About Dre","Dr. Dre",222293,"True",1999,79,0.924,"hip hop"
"Hot Boyz","Missy Elliott",215466,"True",1998,49,0.727,"hip hop; pop; R&B"
"Show Me the Meaning of Being Lonely","Backstreet Boys",234960,"False",1999,68,0.63,"pop"
"Gotta Tell You","Samantha Mumba",201946,"False",2018,43,0.729,"pop"
"Case Of The Ex (Whatcha Gonna Do)","Mýa",236906,"False",2000,59,0.772,"pop; R&B"
"Shackles (Praise You)","Mary Mary",198346,"False",2000,64,0.779,"R&B"
"Wifey","Next",243666,"False",2004,52,0.829,"hip hop; pop; R&B"
"Doesn't Really Matter","Janet Jackson",265026,"False",2001,47,0.771,"pop; R&B"
"She Bangs - English Version","Ricky Martin",280626,"False",2000,60,0.63,"pop; latin"
"He Can't Love U","Jagged Edge",244053,"False",2000,55,0.721,"hip hop; pop; R&B"
"Incomplete","Sisqo",274226,"True",1999,60,0.746,"hip hop; pop; R&B"
"I Just Wanna Love U (Give It 2 Me)","JAY-Z",227866,"True",2000,59,0.8,"hip hop"
"Thank God I Found You (feat. Joe & 98°)","Mariah Carey",257360,"False",1999,59,0.348,"pop; R&B"
"Who Let The Dogs Out","Baha Men",198400,"False",2000,65,0.869,"R&B"
"U Know What's Up (feat. Lisa ""Left Eye"" Lopes)","Donell Jones",243733,"True",1999,63,0.854,"pop; R&B"
"Can't Fight The Moonlight","LeAnn Rimes",215506,"False",2001,65,0.628,"pop; country"
"Go Let It Out","Oasis",278666,"False",2000,0,0.408,"Folk/Acoustic; rock"
"Hey Baby (Radio Mix)","DJ Ötzi",219240,"False",2010,58,0.666,"pop; easy listening; Dance/Electronic"
"Most Girls","P!nk",298960,"False",2000,52,0.742,"pop"
"Against All Odds (Take A Look at Me Now) (feat. Westlife)","Mariah Carey",199480,"False",2011,0,0.471,"pop; R&B"
"Fill Me In","Craig David",257200,"False",2000,60,0.682,"hip hop; pop; R&B"
"I Turn to You","Christina Aguilera",273706,"False",1999,61,0.599,"pop"
"American Pie","Madonna",273533,"False",2000,58,0.631,"pop"
"Otherside","Red Hot Chili Peppers",255373,"False",1999,78,0.458,"rock"
"I Like It","Sammie",251040,"False",2000,55,0.826,"hip hop; pop; R&B"
"7 Days","Craig David",235133,"False",2000,70,0.659,"hip hop; pop; R&B"
"Maria Maria (feat. The Product G&B)","Santana",261973,"False",1999,66,0.777,"rock; blues; latin"
"Don't Think I'm Not","Kandi",243533,"False",2000,55,0.859,"pop; R&B"
"There You Go","P!nk",202800,"False",2000,55,0.822,"pop"
"Shalala Lala","Vengaboys",214819,"False",2000,58,0.751,"pop"
"Life Is A Rollercoaster","Ronan Keating",234826,"False",2000,59,0.655,"pop; rock"
"Don't Call Me Baby","Madison Avenue",228140,"False",1999,56,0.808,"Dance/Electronic"
"Jumpin'; Jumpin'","Destiny's Child",230200,"False",1999,70,0.771,"pop; R&B"
"That's the Way It Is","Céline Dion",241373,"False",1999,64,0.634,"pop"
"Kryptonite","3 Doors Down",233933,"False",2000,78,0.545,"pop; rock; metal"
"I Wish","Carl Thomas",226760,"False",2000,52,0.736,"pop; R&B"
"Shake Ya Ass","Mystikal",256973,"True",2000,57,0.914,"hip hop; pop"
"Hemorrhage (In My Hands)","Fuel",236866,"False",2000,49,0.313,"rock; pop; metal"
"Where I Wanna Be","Donell Jones",253626,"False",1999,57,0.664,"pop; R&B"
"Crash and Burn","Savage Garden",281466,"False",1999,54,0.581,"pop"
"My Love","Westlife",231760,"False",2000,68,0.491,"pop"
"Pure Shores","All Saints",268746,"False",2000,62,0.631,"pop"
"Independent Women; Pt. 1","Destiny's Child",221133,"False",2001,65,0.73,"pop; R&B"
"It's Gonna Be Me","*NSYNC",191040,"False",2000,60,0.644,"pop"
"Bag Lady","Erykah Badu",348893,"False",2000,54,0.724,"hip hop; R&B"
